Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
The Shawshank Redemption,(1994),"
Drama            ",142 min,"

9.3
",80        ,"
    Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
","2,377,480","
Votes:
2,377,480
| Gross:
$28.34M
"
The Godfather,(1972),"
Crime, Drama            ",175 min,"

9.2
",100        ,"
    Director:
Francis Ford Coppola
| 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
","1,646,818","
Votes:
1,646,818
| Gross:
$134.97M
"
The Dark Knight,(2008),"
Action, Crime, Drama            ",152 min,"

9.0
",84        ,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
","2,341,261","
Votes:
2,341,261
| Gross:
$534.86M
"
The Godfather: Part II,(1974),"
Crime, Drama            ",202 min,"

9.0
",90        ,"
    Director:
Francis Ford Coppola
| 
    Stars:
Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton
","1,146,666","
Votes:
1,146,666
| Gross:
$57.30M
"
12 Angry Men,(1957),"
Crime, Drama            ",96 min,"

9.0
",96        ,"
    Director:
Sidney Lumet
| 
    Stars:
Henry Fonda, 
Lee J. Cobb, 
Martin Balsam, 
John Fiedler
","701,882","
Votes:
701,882
| Gross:
$4.36M
"
The Lord of the Rings: The Return of the King,(2003),"
Action, Adventure, Drama            ",201 min,"

8.9
",94        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
","1,663,902","
Votes:
1,663,902
| Gross:
$377.85M
"
Pulp Fiction,(1994),"
Crime, Drama            ",154 min,"

8.9
",94        ,"
    Director:
Quentin Tarantino
| 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis
","1,852,195","
Votes:
1,852,195
| Gross:
$107.93M
"
Schindler's List,(1993),"
Biography, Drama, History            ",195 min,"

8.9
",94        ,"
    Director:
Steven Spielberg
| 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall
","1,229,549","
Votes:
1,229,549
| Gross:
$96.90M
"
Inception,(2010),"
Action, Adventure, Sci-Fi            ",148 min,"

8.8
",74        ,"
    Director:
Christopher Nolan
| 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe
","2,099,854","
Votes:
2,099,854
| Gross:
$292.58M
"
Fight Club,(1999),"
Drama            ",139 min,"

8.8
",66        ,"
    Director:
David Fincher
| 
    Stars:
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
","1,881,336","
Votes:
1,881,336
| Gross:
$37.03M
"
The Lord of the Rings: The Fellowship of the Ring,(2001),"
Action, Adventure, Drama            ",178 min,"

8.8
",92        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","1,683,989","
Votes:
1,683,989
| Gross:
$315.54M
"
Forrest Gump,(1994),"
Drama, Romance            ",142 min,"

8.8
",82        ,"
    Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field
","1,838,908","
Votes:
1,838,908
| Gross:
$330.25M
"
"Il buono, il brutto, il cattivo",(1966),"
Western            ",161 min,"

8.8
",90        ,"
    Director:
Sergio Leone
| 
    Stars:
Clint Eastwood, 
Eli Wallach, 
Lee Van Cleef, 
Aldo Giuffrè
","697,056","
Votes:
697,056
| Gross:
$6.10M
"
The Lord of the Rings: The Two Towers,(2002),"
Action, Adventure, Drama            ",179 min,"

8.7
",87        ,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
","1,504,615","
Votes:
1,504,615
| Gross:
$342.55M
"
The Matrix,(1999),"
Action, Sci-Fi            ",136 min,"

8.7
",73        ,"
    Directors:
Lana Wachowski, 
Lilly Wachowski
| 
    Stars:
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
","1,700,513","
Votes:
1,700,513
| Gross:
$171.48M
"
